error_type,message,snapshot_time,stage,symbol
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,LTF
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,LTF
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,LTM
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,LTM
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,LTM
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,LTM
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,M&M
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,M&M
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,M&M
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,M&M
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,MANAPPURAM
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,MANAPPURAM
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,MANAPPURAM
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,MANAPPURAM
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,MARUTI
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,MARUTI
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,MARUTI
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,MARUTI
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,MAXHEALTH
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,MAXHEALTH
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,MAXHEALTH
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,MAXHEALTH
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,MCX
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,MCX
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,MCX
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,MCX
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,MOTILALOFS
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,MOTILALOFS
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,MOTILALOFS
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,MOTILALOFS
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,MPHASIS
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,MPHASIS
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,MPHASIS
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,MPHASIS
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,MUTHOOTFIN
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,MUTHOOTFIN
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,MUTHOOTFIN
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,MUTHOOTFIN
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,NESTLEIND
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,NESTLEIND
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,NESTLEIND
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,NESTLEIND
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,OFSS
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,OFSS
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,OFSS
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,OFSS
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,ONGC
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,ONGC
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,ONGC
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,ONGC
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,PERSISTENT
